context,instruction,response
I'm from Tokyo and my name is Yui,Extract the desired json schema from the given input,"{""city"": ""Tokyo"", ""name"": ""Yui""}"
I reside in Chicago,Extract the desired json schema from the given input,"{""city"": ""Chicago""}"
My favorite color is blue,Extract the desired json schema from the given input,"{""favorite_color"": ""blue""}"
I am 40 years old and live in Chicago,Extract the desired json schema from the given input,"{""age"": 40, ""city"": ""Chicago""}"
My name is David and I am 35 years old,Extract the desired json schema from the given input,"{""name"": ""David"", ""age"": 35}"
I'm 30 years young,Extract the desired json schema from the given input,"{""age"": 30}"
My name is Emily and I am 28 years old,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""age"": 28}"
I want a 5GB data pack and my name is David,Extract the desired json schema from the given input,"{""name"": ""David"", ""data_pack"": ""5GB""}"
The favorite color of my sister is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
I am 30 years old and my name is John,Extract the desired json schema from the given input,"{""age"": 30, ""name"": ""John""}"
My favorite color is yellow and I live in London,Extract the desired json schema from the given input,"{""city"": ""London"", ""favorite_color"": ""yellow""}"
My name is Jack and I want a 5GB data pack,Extract the desired json schema from the given input,"{""name"": ""Jack"", ""data_pack"": ""5GB""}"
I want a 5GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
She is 30 years old,Extract the desired json schema from the given input,"{""age"": 30}"
My brother lives in London,Extract the desired json schema from the given input,"{""city"": ""London""}"
My name is Alex and I prefer 20GB data pack,Extract the desired json schema from the given input,"{""name"": ""Alex"", ""data_pack"": ""20GB""}"
I love the color green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
My name is Emma and I'm from London,Extract the desired json schema from the given input,"{""name"": ""Emma"", ""city"": ""London""}"
I live in New York City,Extract the desired json schema from the given input,"{""city"": ""New York City""}"
I need a 5GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
The name of my friend is Alex,Extract the desired json schema from the given input,"{""name"": ""Alex""}"
I am 30 years old and from Paris,Extract the desired json schema from the given input,"{""age"": 30, ""city"": ""Paris""}"
I want a 5GB data pack and I'm 22,Extract the desired json schema from the given input,"{""data_pack"": ""5GB"", ""age"": 22}"
My home is in Los Angeles,Extract the desired json schema from the given input,"{""city"": ""Los Angeles""}"
I am from Tokyo and I am 35 years old,Extract the desired json schema from the given input,"{""city"": ""Tokyo"", ""age"": 35}"
I am from Sydney and my favorite color is green,Extract the desired json schema from the given input,"{""city"": ""Sydney"", ""favorite_color"": ""green""}"
I love the city of Tokyo and my favorite color is red,Extract the desired json schema from the given input,"{""city"": ""Tokyo"", ""favorite_color"": ""red""}"
My name is Olivia and I am 28 years old,Extract the desired json schema from the given input,"{""name"": ""Olivia"", ""age"": 28}"
I am from Los Angeles,Extract the desired json schema from the given input,"{""city"": ""Los Angeles""}"
I am 29 years old and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""age"": 29}"
He is 40 years old,Extract the desired json schema from the given input,"{""age"": 40}"
I'm 28 and my favorite color is green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
Her favorite color is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
I am Emily and I live in London,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""city"": ""London""}"
My favorite color is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
Green is my favorite color,Extract the desired json schema from the given input,"{""favorite_color"": ""Green""}"
I live in London and I am 32 years old,Extract the desired json schema from the given input,"{""city"": ""London"", ""age"": 32}"
My name is Ahmed and I like 5GB data pack,Extract the desired json schema from the given input,"{""name"": ""Ahmed"", ""data_pack"": ""5GB""}"
My name is Emily and I am from Paris,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""city"": ""Paris""}"
I am 28 years old and love the color green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
I am 28 years old and love green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
I want a 20GB data pack and I live in London,Extract the desired json schema from the given input,"{""data_pack"": ""20GB"", ""city"": ""London""}"
My name is John Doe,Extract the desired json schema from the given input,"{""name"": ""John Doe""}"
My age is 28 years,Extract the desired json schema from the given input,"{""age"": 28}"
I prefer a 5GB data pack and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""data_pack"": ""5GB""}"
I live in London and I am 35 years old,Extract the desired json schema from the given input,"{""city"": ""London"", ""age"": 35}"
I want a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
I am 22 years old and my name is Sarah,Extract the desired json schema from the given input,"{""name"": ""Sarah"", ""age"": 22}"
I am originally from Tokyo,Extract the desired json schema from the given input,"{""city"": ""Tokyo""}"
I am 35 and my name is Michael,Extract the desired json schema from the given input,"{""age"": 35, ""name"": ""Michael""}"
I prefer 15GB data pack and I'm 35 years old,Extract the desired json schema from the given input,"{""data_pack"": ""15GB"", ""age"": 35}"
I am from London and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""city"": ""London""}"
His name is John Smith,Extract the desired json schema from the given input,"{""name"": ""John Smith""}"
I am 30 years old,Extract the desired json schema from the given input,"{""age"": 30}"
I reside in Los Angeles,Extract the desired json schema from the given input,"{""city"": ""Los Angeles""}"
My name is David and I need a 20GB data pack,Extract the desired json schema from the given input,"{""name"": ""David"", ""data_pack"": ""20GB""}"
I am Ramesh and I am 30 years old,Extract the desired json schema from the given input,"{""name"": ""Ramesh"", ""age"": 30}"
I am 28 years old and my favorite color is green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
My name is Jack and I live in Chicago,Extract the desired json schema from the given input,"{""name"": ""Jack"", ""city"": ""Chicago""}"
I prefer a 20GB data pack and live in Paris,Extract the desired json schema from the given input,"{""data_pack"": ""20GB"", ""city"": ""Paris""}"
