context,instruction,response
My name is Ahmed and I like 5GB data pack,Extract the desired json schema from the given input,"{""name"": ""Ahmed"", ""data_pack"": ""5GB""}"
I am originally from Paris,Extract the desired json schema from the given input,"{""city"": ""Paris""}"
I reside in Chicago,Extract the desired json schema from the given input,"{""city"": ""Chicago""}"
My favorite color is yellow and I am from Tokyo,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow"", ""city"": ""Tokyo""}"
I live in New York City,Extract the desired json schema from the given input,"{""city"": ""New York City""}"
My name is John Doe,Extract the desired json schema from the given input,"{""name"": ""John Doe""}"
She is 30 years old,Extract the desired json schema from the given input,"{""age"": 30}"
I'm 30 years old and love green,Extract the desired json schema from the given input,"{""age"": 30, ""favorite_color"": ""green""}"
I'm 30 years old and love playing soccer,Extract the desired json schema from the given input,"{""age"": 30}"
I'm 28 and my favorite color is green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
I prefer a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
My home is in Los Angeles,Extract the desired json schema from the given input,"{""city"": ""Los Angeles""}"
She loves the color green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
I'm 30 years old and my name is Alex,Extract the desired json schema from the given input,"{""age"": 30, ""name"": ""Alex""}"
I love the city of Tokyo and my favorite color is red,Extract the desired json schema from the given input,"{""city"": ""Tokyo"", ""favorite_color"": ""red""}"
My name is Ahmed and I prefer a 20GB data pack,Extract the desired json schema from the given input,"{""name"": ""Ahmed"", ""data_pack"": ""20GB""}"
I am Emily and I live in London,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""city"": ""London""}"
I'm from Tokyo and my name is Yui,Extract the desired json schema from the given input,"{""city"": ""Tokyo"", ""name"": ""Yui""}"
I am from Tokyo and I am 35 years old,Extract the desired json schema from the given input,"{""city"": ""Tokyo"", ""age"": 35}"
I prefer a 20GB data pack and live in Paris,Extract the desired json schema from the given input,"{""data_pack"": ""20GB"", ""city"": ""Paris""}"
I live in London and I am 35 years old,Extract the desired json schema from the given input,"{""city"": ""London"", ""age"": 35}"
I want a 20GB data pack and my name is David,Extract the desired json schema from the given input,"{""name"": ""David"", ""data_pack"": ""20GB""}"
I want a 5GB data pack and I'm 22,Extract the desired json schema from the given input,"{""data_pack"": ""5GB"", ""age"": 22}"
I am 30 years old and my name is John,Extract the desired json schema from the given input,"{""name"": ""John"", ""age"": 30}"
The name of my friend is Alex,Extract the desired json schema from the given input,"{""name"": ""Alex""}"
Green is my favorite color,Extract the desired json schema from the given input,"{""favorite_color"": ""Green""}"
Her favorite color is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
I am 28 years old and love the color green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
My name is David and I need a 20GB data pack,Extract the desired json schema from the given input,"{""name"": ""David"", ""data_pack"": ""20GB""}"
I am from Los Angeles,Extract the desired json schema from the given input,"{""city"": ""Los Angeles""}"
The favorite color of my sister is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
I am 28 years old and love green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
My name is Emma and I'm from London,Extract the desired json schema from the given input,"{""name"": ""Emma"", ""city"": ""London""}"
I am from Chicago and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""city"": ""Chicago""}"
I prefer 20GB data pack and my name is Rami,Extract the desired json schema from the given input,"{""name"": ""Rami"", ""data_pack"": ""20GB""}"
I am from Sydney and my favorite color is green,Extract the desired json schema from the given input,"{""city"": ""Sydney"", ""favorite_color"": ""green""}"
My name is Olivia and I am 28 years old,Extract the desired json schema from the given input,"{""name"": ""Olivia"", ""age"": 28}"
My hometown is Chicago,Extract the desired json schema from the given input,"{""city"": ""Chicago""}"
I am 28 years old and I love the color green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
I am Ramesh and I am 30 years old,Extract the desired json schema from the given input,"{""name"": ""Ramesh"", ""age"": 30}"
My favorite color is green and I'm 22 years old,Extract the desired json schema from the given input,"{""favorite_color"": ""green"", ""age"": 22}"
His name is Michael Davis,Extract the desired json schema from the given input,"{""name"": ""Michael Davis""}"
I am from London and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""city"": ""London""}"
I live in London and I am 32 years old,Extract the desired json schema from the given input,"{""city"": ""London"", ""age"": 32}"
She prefers a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
My favorite color is yellow and I prefer a 15GB data pack,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow"", ""data_pack"": ""15GB""}"
My name is Alex and I prefer 20GB data pack,Extract the desired json schema from the given input,"{""name"": ""Alex"", ""data_pack"": ""20GB""}"
He is 40 years old,Extract the desired json schema from the given input,"{""age"": 40}"
I need a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
My name is Emily and I am 28 years old,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""age"": 28}"
I am 30 years old,Extract the desired json schema from the given input,"{""age"": 30}"
I am from Paris,Extract the desired json schema from the given input,"{""city"": ""Paris""}"
I want a 20GB data pack and I live in London,Extract the desired json schema from the given input,"{""data_pack"": ""20GB"", ""city"": ""London""}"
I want to live in Tokyo,Extract the desired json schema from the given input,"{""city"": ""Tokyo""}"
His name is John Smith,Extract the desired json schema from the given input,"{""name"": ""John Smith""}"
I am 35 and my name is Michael,Extract the desired json schema from the given input,"{""age"": 35, ""name"": ""Michael""}"
My name is Emily and I am 28,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""age"": 28}"
I need a 5GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
My name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia""}"
I prefer 15GB data pack and I'm 35 years old,Extract the desired json schema from the given input,"{""data_pack"": ""15GB"", ""age"": 35}"
My name is Jack and I live in Chicago,Extract the desired json schema from the given input,"{""name"": ""Jack"", ""city"": ""Chicago""}"
I'm 40 and my favorite color is red,Extract the desired json schema from the given input,"{""age"": 40, ""favorite_color"": ""red""}"
My name is Emily and I am from Paris,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""city"": ""Paris""}"
I am 40 years old and live in Chicago,Extract the desired json schema from the given input,"{""age"": 40, ""city"": ""Chicago""}"
My age is 28 and I love reading books,Extract the desired json schema from the given input,"{""age"": 28}"
I am 29 years old and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""age"": 29}"
My favorite color is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
I am 30 years old and from Paris,Extract the desired json schema from the given input,"{""age"": 30, ""city"": ""Paris""}"
